method,Nmeas,fmin,fmax,ncp,upper,lpred,MIPgap,tvec_1,tvec_2,tvec_3,tvec_4,tvec_5,tvec_6,tvec_7,tvec_8,tvec_9,tvec_10,tvec_11,tvec_12,tvec_13,tvec_14,tvec_15,tvec_16,tvec_17,tvec_18,tvec_19,tvec_20,tvec_21,tvec_22,tvec_23,tvec_24,tvec_25,tvec_26,tvec_27,tvec_28,tvec_29,tvec_30,tvec_31,tvec_32,tvec_33,tvec_34,tvec_35,tvec_36,tvec_37,tvec_38,tvec_39,tvec_40,tvec_41,tvec_42,tvec_43,tvec_44,tvec_45,tvec_46,tvec_47,tvec_48
diffEVCR,16,10,10,7.998731,NaN,NaN,NaN,0.878925179222754,0.645845490307593,0.659682414048914,0.0587099350874229,0.299651093986849,0.668269816580461,0.335442969200535,0.0377942764613848,0.821199160156021,0.931249052120084,0.799851727135939,0.789912285857246,0.1096206372712,0.567439883879176,0.21656214985607,0.188342722356514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,12,7.727331,NaN,NaN,NaN,0.684097043230918,0.470425708481648,0.892700269121459,0.497428790934114,0.430237247543503,0.869132844193458,0.824610351742112,0.757262524965188,0.465632467833689,0.404296416379907,0.811593976152802,0.841160734240936,0.561915282465058,0.699309567766501,0.536476350656356,0.533345874828128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,14,7.518759,NaN,NaN,NaN,0.429069886823495,0.57125783187439,0.697685775390902,0.594195726333506,0.472279729338358,0.51865409289101,0.415679546733501,0.496984465651062,0.585618035642418,0.655913820257141,0.451945709260386,0.716756598470314,0.532623502474346,0.553887065791275,0.680065530083361,0.399309598757404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,16,7.334042,NaN,NaN,NaN,0.175337315153512,0.513679060375601,0.230957235980509,0.628294751593836,0.493893038532447,0.154508087536121,0.198807159832174,0.520766187565094,0.645826009163783,0.382182144558005,0.53299953441055,0.545582268743515,0.214979452609856,0.361932727456263,0.47417650698979,0.497653774211928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,18,7.142159,NaN,NaN,NaN,0.588677514513777,0.409266941077824,0.738158079807988,0.720471074810132,0.553749405864675,0.677488943044579,0.704184133942401,0.604597962601139,0.719959486087506,0.570239029905511,0.433298977209119,0.696695376122429,0.393051755376913,0.451394465445456,0.46687273288711,0.621968422182933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,20,7.292608,NaN,NaN,NaN,0.343932691894019,0.231166899714936,0.357979072455507,0.290726659958595,0.243316086116681,0.269335816666743,0.288929466459799,0.327143567572447,0.298903199174646,0.254691833246909,0.262468213562209,0.307390525856128,0.216142599362037,0.313763212156822,0.277179608663067,0.279816289960718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,22,7.089288,NaN,NaN,NaN,0.282193628103869,0.229293731340418,0.358370341503193,0.257162487567108,0.243675490218781,0.389970742139665,0.316248422773415,0.249086868290889,0.334260595611688,0.299816623158816,0.264566354354165,0.314698962300904,0.266899114433918,0.297517950705073,0.375147273628602,0.279816289960718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,10,24,6.985911,NaN,NaN,NaN,0.373091043819651,0.441385098455246,0.389693424418933,0.469124181916569,0.493809609647384,0.415328553866945,0.399156110579927,0.408148395417796,0.428022249125834,0.372741863301966,0.382983647502751,0.45466768602492,0.355245473367727,0.36248852257691,0.423573848480531,0.482887998496025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,12,7.999271,NaN,NaN,NaN,0.1291442764248,0.180264235395661,0.953662262251291,0.354061315323355,0.227810704816134,0.93444625672423,0.337721956625886,0.327146821655362,0.570682850481878,0.39581148005102,0.420768271053749,0.159862619628722,0.448223722800665,0.217852701209988,0.446215611691222,0.465662408365111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,14,7.679834,NaN,NaN,NaN,0.905548678605528,0.733325449900301,0.71770012823451,0.790146335680817,0.346189082625834,0.739536042954714,0.334753477777899,0.243195570475018,0.697506329829764,0.189922768991427,0.928745278001823,0.389016214853297,0.44307785777678,0.680903402108088,0.211482031206909,0.881181820554043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,16,7.538474,NaN,NaN,NaN,0.211144300149118,0.321473838052288,0.219030972692926,0.309181001364493,0.6113671664557,0.32203583489107,0.233313891815047,0.124341329531539,0.409894179847122,0.371187877142478,0.420387587323636,0.101419426737286,0.266221437567159,0.0788329894808666,0.432905328118769,0.591837367091484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,18,7.375543,NaN,NaN,NaN,0.466842698598446,0.482668643099534,0.433248282238807,0.498441864949796,0.311892708188101,0.40658763061647,0.451290442718499,0.303220558730452,0.414498998714246,0.32884322711531,0.490957394207318,0.514731428865734,0.286370279014585,0.389036126674967,0.512827448340196,0.532927006212947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,20,7.249347,NaN,NaN,NaN,0.511470113026267,0.600370551610161,0.572354455334446,0.802303295462455,0.567953745166064,0.762042201508845,0.579010542624667,0.773748291717448,0.757587777714144,0.528064790740469,0.591431225172965,0.790853258887403,0.553849143973807,0.61534003265279,0.782697921970052,0.741528315239651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,22,7.085615,NaN,NaN,NaN,0.192315396817845,0.312180942795231,0.186340032815416,0.329960212112764,0.176999294648116,0.294507814174286,0.370999446787013,0.20350405288897,0.284993298111476,0.388312613704589,0.151057253211886,0.375051578272469,0.358138315392882,0.165297620870777,0.345268717228245,0.273075242843633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,12,24,7.013554,NaN,NaN,NaN,0.477982363409597,0.609539585325814,0.419300417588744,0.533349983533576,0.489243885838624,0.499979746941666,0.517287227676752,0.626014451689357,0.403138150519118,0.507404479225504,0.414726942113899,0.516351929702305,0.527600530042313,0.430109999924072,0.466936197505555,0.545225612561026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,10,6.301369,NaN,NaN,NaN,0.726894203641973,0.417654221420307,0.564970484360977,0.284032007038323,0.377264147598132,0.60542050539238,0.943518571304479,0.806209281954369,0.762397380568715,0.522223511802833,0.473981160855439,0.655498543631821,0.190885967758888,0.856935835270173,0.898950687870276,0.152446269131468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
